Degree,HSV_Hue Mean,Hue Mean,HSV_Hue Std,B Mean,A Mean,Hue Std,Homogeneity,Contrast,Correlation,B Std,Skewness A,Skewness B,L Std
1,0.23,0.52,0.36,0.56,0.7,0.19,0.71,0.13,0.89,0.18,-0.96,-0.8,0.11
1,0.23,0.52,0.36,0.56,0.7,0.19,0.71,0.13,0.89,0.18,-0.96,-0.8,0.11
1,0.23,0.52,0.36,0.56,0.7,0.19,0.71,0.13,0.89,0.18,-0.96,-0.8,0.11
1,0.23,0.52,0.36,0.56,0.7,0.19,0.71,0.13,0.89,0.18,-0.96,-0.8,0.11
1,0.23,0.52,0.36,0.56,0.7,0.19,0.71,0.13,0.89,0.18,-0.96,-0.8,0.11
1,0.23,0.52,0.36,0.56,0.7,0.19,0.71,0.13,0.89,0.18,-0.96,-0.8,0.11
1,0.23,0.52,0.36,0.56,0.7,0.19,0.71,0.13,0.89,0.18,-0.96,-0.8,0.11
1,0.23,0.52,0.36,0.56,0.7,0.19,0.71,0.13,0.89,0.18,-0.96,-0.8,0.11
1,0.23,0.52,0.36,0.56,0.7,0.19,0.71,0.13,0.89,0.18,-0.96,-0.8,0.11
1,0.23,0.52,0.36,0.56,0.7,0.19,0.71,0.13,0.89,0.18,-0.96,-0.8,0.11
1,0.23,0.52,0.36,0.56,0.7,0.19,0.71,0.13,0.89,0.18,-0.96,-0.8,0.11
1,0.23,0.52,0.36,0.56,0.7,0.19,0.71,0.13,0.89,0.18,-0.96,-0.8,0.11
1,0.85,0.36,0.34,0.38,0.62,0.13,0.76,0.05,0.96,0.1,0.82,0.79,0.12
1,0.85,0.36,0.34,0.38,0.62,0.13,0.76,0.05,0.96,0.1,0.82,0.79,0.12
1,0.85,0.36,0.34,0.38,0.62,0.13,0.76,0.05,0.96,0.1,0.82,0.79,0.12
1,0.85,0.36,0.34,0.38,0.62,0.13,0.76,0.05,0.96,0.1,0.82,0.79,0.12
1,0.85,0.36,0.34,0.38,0.62,0.13,0.76,0.05,0.96,0.1,0.82,0.79,0.12
1,0.85,0.36,0.34,0.38,0.62,0.13,0.76,0.05,0.96,0.1,0.82,0.79,0.12
1,0.85,0.36,0.34,0.38,0.62,0.13,0.76,0.05,0.96,0.1,0.82,0.79,0.12
1,0.85,0.36,0.34,0.38,0.62,0.13,0.76,0.05,0.96,0.1,0.82,0.79,0.12
1,0.85,0.36,0.34,0.38,0.62,0.13,0.76,0.05,0.96,0.1,0.82,0.79,0.12
1,0.85,0.36,0.34,0.38,0.62,0.13,0.76,0.05,0.96,0.1,0.82,0.79,0.12
1,0.85,0.36,0.34,0.38,0.62,0.13,0.76,0.05,0.96,0.1,0.82,0.79,0.12
1,0.85,0.36,0.34,0.38,0.62,0.13,0.76,0.05,0.96,0.1,0.82,0.79,0.12
1,0.26,0.34,0.43,0.52,0.74,0.16,0.71,0.05,0.98,0.16,-0.28,0.17,0.09
1,0.26,0.34,0.43,0.52,0.74,0.16,0.71,0.05,0.98,0.16,-0.28,0.17,0.09
1,0.26,0.34,0.43,0.52,0.74,0.16,0.71,0.05,0.98,0.16,-0.28,0.17,0.09
1,0.26,0.34,0.43,0.52,0.74,0.16,0.71,0.05,0.98,0.16,-0.28,0.17,0.09
1,0.26,0.34,0.43,0.52,0.74,0.16,0.71,0.05,0.98,0.16,-0.28,0.17,0.09
1,0.26,0.34,0.43,0.52,0.74,0.16,0.71,0.05,0.98,0.16,-0.28,0.17,0.09
1,0.26,0.34,0.43,0.52,0.74,0.16,0.71,0.05,0.98,0.16,-0.28,0.17,0.09
1,0.26,0.34,0.43,0.52,0.74,0.16,0.71,0.05,0.98,0.16,-0.28,0.17,0.09
1,0.26,0.34,0.43,0.52,0.74,0.16,0.71,0.05,0.98,0.16,-0.28,0.17,0.09
1,0.26,0.34,0.43,0.52,0.74,0.16,0.71,0.05,0.98,0.16,-0.28,0.17,0.09
1,0.26,0.34,0.43,0.52,0.74,0.16,0.71,0.05,0.98,0.16,-0.28,0.17,0.09
1,0.26,0.34,0.43,0.52,0.74,0.16,0.71,0.05,0.98,0.16,-0.28,0.17,0.09
1,0.04,0.36,0.06,0.61,0.66,0.09,0.65,0.21,0.92,0.17,-1.05,-1.53,0.22
1,0.04,0.36,0.06,0.61,0.66,0.09,0.65,0.21,0.92,0.17,-1.05,-1.53,0.22
1,0.04,0.36,0.06,0.61,0.66,0.09,0.65,0.21,0.92,0.17,-1.05,-1.53,0.22
1,0.04,0.36,0.06,0.61,0.66,0.09,0.65,0.21,0.92,0.17,-1.05,-1.53,0.22
1,0.04,0.36,0.06,0.61,0.66,0.09,0.65,0.21,0.92,0.17,-1.05,-1.53,0.22
1,0.04,0.36,0.06,0.61,0.66,0.09,0.65,0.21,0.92,0.17,-1.05,-1.53,0.22
1,0.04,0.36,0.06,0.61,0.66,0.09,0.65,0.21,0.92,0.17,-1.05,-1.53,0.22
1,0.04,0.36,0.06,0.61,0.66,0.09,0.65,0.21,0.92,0.17,-1.05,-1.53,0.22
1,0.04,0.36,0.06,0.61,0.66,0.09,0.65,0.21,0.92,0.17,-1.05,-1.53,0.22
1,0.04,0.36,0.06,0.61,0.66,0.09,0.65,0.21,0.92,0.17,-1.05,-1.53,0.22
1,0.04,0.36,0.06,0.61,0.66,0.09,0.65,0.21,0.92,0.17,-1.05,-1.53,0.22
1,0.04,0.36,0.06,0.61,0.66,0.09,0.65,0.21,0.92,0.17,-1.05,-1.53,0.22
1,0.12,0.46,0.3,0.59,0.64,0.18,0.55,0.05,0.96,0.11,0.08,0.2,0.13
1,0.12,0.46,0.3,0.59,0.64,0.18,0.55,0.05,0.96,0.11,0.08,0.2,0.13
1,0.12,0.46,0.3,0.59,0.64,0.18,0.55,0.05,0.96,0.11,0.08,0.2,0.13
1,0.12,0.46,0.3,0.59,0.64,0.18,0.55,0.05,0.96,0.11,0.08,0.2,0.13
1,0.12,0.46,0.3,0.59,0.64,0.18,0.55,0.05,0.96,0.11,0.08,0.2,0.13
1,0.12,0.46,0.3,0.59,0.64,0.18,0.55,0.05,0.96,0.11,0.08,0.2,0.13
1,0.12,0.46,0.3,0.59,0.64,0.18,0.55,0.05,0.96,0.11,0.08,0.2,0.13
1,0.12,0.46,0.3,0.59,0.64,0.18,0.55,0.05,0.96,0.11,0.08,0.2,0.13
1,0.12,0.46,0.3,0.59,0.64,0.18,0.55,0.05,0.96,0.11,0.08,0.2,0.13
1,0.12,0.46,0.3,0.59,0.64,0.18,0.55,0.05,0.96,0.11,0.08,0.2,0.13
1,0.12,0.46,0.3,0.59,0.64,0.18,0.55,0.05,0.96,0.11,0.08,0.2,0.13
1,0.12,0.46,0.3,0.59,0.64,0.18,0.55,0.05,0.96,0.11,0.08,0.2,0.13
1,0.06,0.44,0.05,0.47,0.67,0.23,0.32,0.17,0.87,0.21,-0.8,0.47,0.16
1,0.06,0.44,0.05,0.47,0.67,0.23,0.32,0.17,0.87,0.21,-0.8,0.47,0.16
1,0.06,0.44,0.05,0.47,0.67,0.23,0.32,0.17,0.87,0.21,-0.8,0.47,0.16
1,0.06,0.44,0.05,0.47,0.67,0.23,0.32,0.17,0.87,0.21,-0.8,0.47,0.16
1,0.06,0.44,0.05,0.47,0.67,0.23,0.32,0.17,0.87,0.21,-0.8,0.47,0.16
1,0.06,0.44,0.05,0.47,0.67,0.23,0.32,0.17,0.87,0.21,-0.8,0.47,0.16
1,0.06,0.44,0.05,0.47,0.67,0.23,0.32,0.17,0.87,0.21,-0.8,0.47,0.16
1,0.06,0.44,0.05,0.47,0.67,0.23,0.32,0.17,0.87,0.21,-0.8,0.47,0.16
1,0.06,0.44,0.05,0.47,0.67,0.23,0.32,0.17,0.87,0.21,-0.8,0.47,0.16
1,0.06,0.44,0.05,0.47,0.67,0.23,0.32,0.17,0.87,0.21,-0.8,0.47,0.16
1,0.06,0.44,0.05,0.47,0.67,0.23,0.32,0.17,0.87,0.21,-0.8,0.47,0.16
1,0.06,0.44,0.05,0.47,0.67,0.23,0.32,0.17,0.87,0.21,-0.8,0.47,0.16
1,0.03,0.42,0.01,0.4,0.47,0.14,0.64,0.06,0.97,0.15,0.11,0.62,0.17
1,0.03,0.42,0.01,0.4,0.47,0.14,0.64,0.06,0.97,0.15,0.11,0.62,0.17
1,0.03,0.42,0.01,0.4,0.47,0.14,0.64,0.06,0.97,0.15,0.11,0.62,0.17
1,0.03,0.42,0.01,0.4,0.47,0.14,0.64,0.06,0.97,0.15,0.11,0.62,0.17
1,0.03,0.42,0.01,0.4,0.47,0.14,0.64,0.06,0.97,0.15,0.11,0.62,0.17
1,0.03,0.42,0.01,0.4,0.47,0.14,0.64,0.06,0.97,0.15,0.11,0.62,0.17
1,0.03,0.42,0.01,0.4,0.47,0.14,0.64,0.06,0.97,0.15,0.11,0.62,0.17
1,0.03,0.42,0.01,0.4,0.47,0.14,0.64,0.06,0.97,0.15,0.11,0.62,0.17
1,0.03,0.42,0.01,0.4,0.47,0.14,0.64,0.06,0.97,0.15,0.11,0.62,0.17
1,0.03,0.42,0.01,0.4,0.47,0.14,0.64,0.06,0.97,0.15,0.11,0.62,0.17
1,0.03,0.42,0.01,0.4,0.47,0.14,0.64,0.06,0.97,0.15,0.11,0.62,0.17
1,0.03,0.42,0.01,0.4,0.47,0.14,0.64,0.06,0.97,0.15,0.11,0.62,0.17
1,0.06,0.31,0.03,0.49,0.6,0.08,0.54,0.09,0.95,0.06,0.27,0.51,0.17
1,0.06,0.31,0.03,0.49,0.6,0.08,0.54,0.09,0.95,0.06,0.27,0.51,0.17
1,0.06,0.31,0.03,0.49,0.6,0.08,0.54,0.09,0.95,0.06,0.27,0.51,0.17
1,0.06,0.31,0.03,0.49,0.6,0.08,0.54,0.09,0.95,0.06,0.27,0.51,0.17
1,0.06,0.31,0.03,0.49,0.6,0.08,0.54,0.09,0.95,0.06,0.27,0.51,0.17
1,0.06,0.31,0.03,0.49,0.6,0.08,0.54,0.09,0.95,0.06,0.27,0.51,0.17
1,0.06,0.31,0.03,0.49,0.6,0.08,0.54,0.09,0.95,0.06,0.27,0.51,0.17
1,0.06,0.31,0.03,0.49,0.6,0.08,0.54,0.09,0.95,0.06,0.27,0.51,0.17
1,0.06,0.31,0.03,0.49,0.6,0.08,0.54,0.09,0.95,0.06,0.27,0.51,0.17
1,0.06,0.31,0.03,0.49,0.6,0.08,0.54,0.09,0.95,0.06,0.27,0.51,0.17
1,0.06,0.31,0.03,0.49,0.6,0.08,0.54,0.09,0.95,0.06,0.27,0.51,0.17
1,0.06,0.31,0.03,0.49,0.6,0.08,0.54,0.09,0.95,0.06,0.27,0.51,0.17
1,0.05,0.27,0.15,0.63,0.77,0.1,0.64,0.11,0.95,0.15,-1.71,-0.63,0.1
1,0.05,0.27,0.15,0.63,0.77,0.1,0.64,0.11,0.95,0.15,-1.71,-0.63,0.1
1,0.05,0.27,0.15,0.63,0.77,0.1,0.64,0.11,0.95,0.15,-1.71,-0.63,0.1
1,0.05,0.27,0.15,0.63,0.77,0.1,0.64,0.11,0.95,0.15,-1.71,-0.63,0.1
1,0.05,0.27,0.15,0.63,0.77,0.1,0.64,0.11,0.95,0.15,-1.71,-0.63,0.1
1,0.05,0.27,0.15,0.63,0.77,0.1,0.64,0.11,0.95,0.15,-1.71,-0.63,0.1
1,0.05,0.27,0.15,0.63,0.77,0.1,0.64,0.11,0.95,0.15,-1.71,-0.63,0.1
1,0.05,0.27,0.15,0.63,0.77,0.1,0.64,0.11,0.95,0.15,-1.71,-0.63,0.1
1,0.05,0.27,0.15,0.63,0.77,0.1,0.64,0.11,0.95,0.15,-1.71,-0.63,0.1
1,0.05,0.27,0.15,0.63,0.77,0.1,0.64,0.11,0.95,0.15,-1.71,-0.63,0.1
1,0.05,0.27,0.15,0.63,0.77,0.1,0.64,0.11,0.95,0.15,-1.71,-0.63,0.1
1,0.05,0.27,0.15,0.63,0.77,0.1,0.64,0.11,0.95,0.15,-1.71,-0.63,0.1
1,0.5,0.48,0.18,0.41,0.43,0.19,0.59,0.04,0.97,0.17,-0.02,1.07,0.21
1,0.5,0.48,0.18,0.41,0.43,0.19,0.59,0.04,0.97,0.17,-0.02,1.07,0.21
1,0.5,0.48,0.18,0.41,0.43,0.19,0.59,0.04,0.97,0.17,-0.02,1.07,0.21
1,0.5,0.48,0.18,0.41,0.43,0.19,0.59,0.04,0.97,0.17,-0.02,1.07,0.21
1,0.5,0.48,0.18,0.41,0.43,0.19,0.59,0.04,0.97,0.17,-0.02,1.07,0.21
1,0.5,0.48,0.18,0.41,0.43,0.19,0.59,0.04,0.97,0.17,-0.02,1.07,0.21
1,0.5,0.48,0.18,0.41,0.43,0.19,0.59,0.04,0.97,0.17,-0.02,1.07,0.21
1,0.5,0.48,0.18,0.41,0.43,0.19,0.59,0.04,0.97,0.17,-0.02,1.07,0.21
1,0.5,0.48,0.18,0.41,0.43,0.19,0.59,0.04,0.97,0.17,-0.02,1.07,0.21
1,0.5,0.48,0.18,0.41,0.43,0.19,0.59,0.04,0.97,0.17,-0.02,1.07,0.21
1,0.5,0.48,0.18,0.41,0.43,0.19,0.59,0.04,0.97,0.17,-0.02,1.07,0.21
